Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1844.278223021352
FDW14,OUT017,1572.701746979366
NCN55,OUT010,1875.1930020407626
FDQ58,OUT017,2590.4863967525043
FDY38,OUT027,5183.315422973717
FDH56,OUT046,1926.144241206042
FDL48,OUT018,596.6301666272329
FDC48,OUT027,2783.2610581428426
FDN33,OUT045,1513.14790084399
FDA36,OUT017,3089.1556747698246
FDT44,OUT017,1993.4503102813596
FDQ56,OUT045,1314.4642629475445
NCC54,OUT019,1856.2847018712855
FDU11,OUT049,2058.2907486073013
DRL59,OUT013,892.0381555021099
FDM24,OUT049,2558.466837160939
FDI57,OUT045,3082.724833163371
DRC12,OUT018,2760.600781605972
NCM42,OUT027,3197.8599672615696
FDA46,OUT010,1133.3197965884542
FDA31,OUT013,2806.431598331329
NCJ31,OUT035,3877.3264889680904
FDG52,OUT046,802.0929528963027
NCL19,OUT019,364.6153030813582
FDS10,OUT035,3019.3285446971495
FDX22,OUT010,1461.8809577154093
NCF19,OUT035,924.1587056917701
NCE06,OUT046,2540.661495852916
DRC27,OUT046,3850.7979767171855
FDE21,OUT035,2027.5571877714347
NCR42,OUT019,-1360.0028260227746
FDX51,OUT018,2869.910078709749
NCR06,OUT018,429.44065932518436
FDU31,OUT027,4949.126076806369
FDU59,OUT017,2715.554883611335
FDR03,OUT027,4756.122204541126
FDS49,OUT027,2757.5129847143903
FDD48,OUT010,-69.93356035818067
NCF18,OUT017,3115.9812146114928
NCD43,OUT027,3102.831830496564
NCD54,OUT018,1989.7592641049318
FDY19,OUT010,-38.98210434089822
NCY54,OUT017,2817.4784547933286
NCL19,OUT018,2019.1544015320374
FDP23,OUT010,1535.4692212801324
FDC26,OUT013,1823.511551992388
FDR14,OUT010,-1032.8030263427675
NCS41,OUT035,3030.221110304412
FDF41,OUT035,4049.492483178482
FDU34,OUT046,1997.5040048555093
DRH11,OUT046,932.6474840104352
FDM03,OUT013,1737.3795285870015
FDS31,OUT017,3026.2515091453
FDJ20,OUT017,2095.424068840355
FDV44,OUT027,4494.00418000127
FDG02,OUT049,3110.369716276127
FDA09,OUT013,2927.2244366878695
FDT04,OUT013,675.7812216859052
FDL58,OUT019,2290.7884886210672
FDE52,OUT045,1445.8358193606543
FDW12,OUT035,2508.9951711517206
FDL51,OUT017,3549.2124455653047
NCY42,OUT027,3693.399389009912
FDR07,OUT017,1661.6190038821123
FDN40,OUT045,2366.4876510239446
FDB35,OUT027,2958.4058235092125
FDA22,OUT017,2741.6949186694724
NCL06,OUT046,4113.872425236974
FDI35,OUT013,2915.9139300252373
NCW42,OUT045,3410.5221290968007
NCX06,OUT049,2940.0404668842443
FDC37,OUT027,3201.3676069072662
FDZ14,OUT018,1735.998186631933
DRG49,OUT049,3958.300855874928
NCG06,OUT045,3957.027725368388
DRC36,OUT045,2723.8858271222907
FDV21,OUT019,56.27724518651212
FDB53,OUT046,2354.4148503384795
DRP47,OUT019,2036.7442544668938
FDA14,OUT013,2347.650466040727
DRC24,OUT035,2569.885677276595
FDW21,OUT018,1409.089213843344
NCH29,OUT046,1558.472408195326
FDU58,OUT013,3080.311198291756
FDY27,OUT017,2938.6660152976933
FDV56,OUT035,1951.3754596136328
FDT59,OUT046,3657.9306816749286
FDB23,OUT046,3619.9958963417403
FDR49,OUT045,696.1731447047828
FDB03,OUT010,1912.0777693195928
FDN39,OUT045,2608.562934366564
FDX02,OUT027,4983.80423945641
FDQ16,OUT027,3193.0185623577904
FDU35,OUT018,1331.2970247523435
NCT29,OUT013,1963.7628177441575
FDZ27,OUT046,823.0633977210323
FDN57,OUT017,2347.3778085306876
FDA03,OUT018,2091.5884151825803
FDZ36,OUT045,2926.641463222163
NCU05,OUT013,1328.0184420441235
FDT39,OUT018,2193.219159731483
FDK60,OUT017,1708.4411256342105
FDZ25,OUT017,2845.833226287318
FDG12,OUT046,2018.771116548775
DRB01,OUT019,1113.7679761601785
NCC43,OUT027,5374.794058898433
FDX13,OUT019,2032.227329736586
FDM22,OUT049,1029.2729186611582
FDJ03,OUT027,2310.820902587512
FDU14,OUT018,3666.0170172979197
FDB33,OUT010,632.0612983237456
FDP27,OUT046,3015.778179057245
FDO38,OUT010,-671.4045568104918
FDE28,OUT027,5146.517951064706
FDO27,OUT035,1706.77690221893
DRL23,OUT027,3171.772216126203
FDS28,OUT046,970.8159171236252
FDX24,OUT013,1545.604391186469
FDZ02,OUT035,1755.1815298893384
FDL46,OUT045,1809.4588110562645
FDS60,OUT027,4299.3003702874785
NCO06,OUT017,636.0195879645148
FDO16,OUT035,1537.1034306610977
FDC60,OUT049,1550.5303268736984
FDA48,OUT018,3197.7698740045744
FDZ36,OUT027,4452.0865234297025
FDK27,OUT045,1883.663837390383
FDW23,OUT018,387.4931296944452
FDM14,OUT018,1508.377779877494
FDM14,OUT013,1786.462522248904
FDW60,OUT018,2607.349912599704
FDE21,OUT013,1912.6950775917394
NCM42,OUT035,1890.9911622627883
FDY59,OUT010,-381.36438797753885
DRI49,OUT049,1377.0992700197721
FDT28,OUT019,511.48051860198075
FDQ22,OUT018,405.3466842198799
FDR60,OUT049,1331.6142179846538
FDC50,OUT019,-398.59329022223335
FDV24,OUT013,2447.937122441419
DRF48,OUT010,1069.4835603955112
FDQ47,OUT046,649.7897660456624
DRN36,OUT049,1657.6968401967342
NCY06,OUT035,2176.6151576098828
FDE52,OUT035,1648.967114965209
NCB54,OUT045,1944.7212056142407
NCF31,OUT035,2555.8626148047692
FDJ08,OUT027,4452.29986909581
NCC07,OUT017,1792.0394310861984
NCD19,OUT027,2331.370023554465
FDL46,OUT049,2003.1378114958434
FDM20,OUT045,3830.1085612993447
NCI06,OUT010,928.3932793858844
DRM11,OUT035,4225.5006448428385
NCH07,OUT018,2213.9426638937407
FDS23,OUT013,2092.6488560099833
FDO49,OUT018,597.8724254885747
FDS35,OUT049,1164.0952978930345
DRK39,OUT045,1266.217592055369
DRI39,OUT049,1039.4485404884144
FDV04,OUT017,2646.35506692386
NCN14,OUT035,3006.55437020883
FDH08,OUT013,3700.6565067501397
FDS20,OUT046,2912.2800531059934
FDV40,OUT049,1339.6619912905026
FDZ48,OUT010,-146.26776474382393
FDS24,OUT027,2914.9609084030294
FDK44,OUT049,2854.2293189546076
FDS48,OUT045,2331.2426779891284
FDK26,OUT010,1107.9350867029293
FDD23,OUT045,2973.2327134989355
NCH54,OUT017,2645.790253758753
NCP14,OUT010,-244.741983981168
FDM60,OUT010,-1196.2225523332552
FDV24,OUT017,2512.5473002034914
FDH08,OUT018,3357.2310394125166
FDS12,OUT027,3470.5788112916225
FDR39,OUT027,4316.200698309014
FDP12,OUT027,2124.591394387216
DRF60,OUT027,5175.506731732705
FDC09,OUT035,1851.8659289937905
FDF50,OUT018,2864.873293744873
FDG28,OUT035,4046.332198936432
NCE19,OUT017,994.722799384308
NCM53,OUT010,-201.4523125314738
NCN18,OUT049,1857.6845028388402
FDF32,OUT035,3299.631532804745
FDF11,OUT013,3870.5815772080787
DRI59,OUT049,3651.8676354871577
NCG54,OUT035,2810.529893366888
FDM44,OUT046,1645.6727584770465
FDT57,OUT018,3467.806065636586
FDV24,OUT046,2407.4285412754443
FDI50,OUT019,1757.6940313138534
FDS09,OUT035,1041.1572070656812
NCC31,OUT027,3898.413821252614
FDQ07,OUT019,1597.5427497433625
FDC22,OUT017,3176.7627723764062
FDZ56,OUT046,2701.736719035764
FDZ40,OUT019,-993.0908974082904
FDS46,OUT027,3398.0297841464208
DRD24,OUT045,2170.377042926577
FDV45,OUT017,3108.6565857764385
FDL26,OUT045,2410.6751933268965
FDA56,OUT018,1713.0730641930145
FDN27,OUT046,1899.801867934848
FDM20,OUT049,3976.7992071966783
FDO16,OUT017,1468.3181814887896
FDL03,OUT035,3294.295400950058
FDE58,OUT046,1880.0529500399093
FDI02,OUT027,3286.395980656314
NCC55,OUT019,-1264.7687866982926
FDR03,OUT018,3038.2493041166103
FDB14,OUT017,1632.6479646167054
FDR45,OUT013,3848.7783719775653
NCN07,OUT017,2162.6009953447124
FDM51,OUT019,-193.62387692836262
FDT52,OUT027,5366.407263546133
FDL26,OUT046,2455.360829034567
NCZ42,OUT046,3763.02524515644
DRI47,OUT019,424.5021323524861
FDW40,OUT013,2318.9186178027517
FDN34,OUT046,2732.139091459203
FDS01,OUT035,2991.166124437843
NCG55,OUT045,1776.1938152706994
FDC11,OUT035,1541.74124594257
FDX35,OUT018,3348.1764037633125
NCB06,OUT046,2520.3744378971965
FDR09,OUT019,2195.413271983795
FDC53,OUT017,1687.475310731566
FDY45,OUT013,4058.736337226276
FDA22,OUT010,758.1037258662786
FDE02,OUT035,1675.8233050602844
FDW21,OUT045,1620.6900574522806
FDV34,OUT046,1260.6065142198709
FDS59,OUT049,1900.9352318590659
NCW17,OUT017,2133.238489510155
NCK54,OUT046,1864.4035510364592
FDG17,OUT019,2010.9544972229646
